image_id,mean_r,mean_g,mean_b,std_r,std_g,std_b,skew_r,skew_g,skew_b,label
AAZ1,22.8203861,18.86979714,19.35011186,70.75895649,59.90327934,61.49921522,2.877772287,2.931315018,2.914276063,abnormal
ABA1,52.91481443,46.53139639,52.50968965,98.09046253,87.73021977,97.60156129,1.358175434,1.392851792,1.359635998,abnormal
ABB1,71.14258658,62.74019403,61.11528293,112.7072468,100.4680494,97.7814202,0.97839613,0.999089285,0.998149509,abnormal
ABC1,83.35995116,71.28706785,82.83389848,118.4259109,101.9365711,117.7438295,0.730722314,0.745783176,0.731741069,abnormal
ABD1,32.79283991,23.75108187,24.26532896,81.9570856,61.20901301,62.53511842,2.210148793,2.278185744,2.281989625,normal
ABE1,36.80720124,32.17771482,32.3354597,86.90464404,77.78224792,78.19188172,2.023630892,2.054786454,2.048044274,normal
ABF1,45.95367722,45.40800008,45.53100105,91.93426347,91.39221018,91.51142795,1.531228358,1.537262071,1.535329805,abnormal
ABH1,18.74652191,16.55630547,16.58485665,65.05942797,58.47871892,58.61693437,3.26689345,3.306171797,3.305002518,abnormal
ABI1,71.14990598,62.63585561,62.89551958,111.8029332,99.98284098,100.4694817,0.977322147,0.998271267,0.997844966,abnormal
ABJ1,51.65223351,47.5627789,49.87483818,95.52376699,89.40103137,93.32187456,1.360210702,1.372999348,1.363221108,abnormal
ABK1,47.4053531,38.28537998,37.86792506,96.55113876,79.69838995,78.82134998,1.608794021,1.644604741,1.644285786,abnormal
ABL1,56.14637898,46.79405308,48.70097533,98.98867196,83.86418587,87.36298589,1.246833809,1.263962434,1.260123099,abnormal
ABM1,66.04632796,63.07738968,63.70003775,109.2832834,105.8673623,106.793351,1.094405241,1.103724279,1.101501939,abnormal
ABN1,72.30487574,58.8615674,58.40161655,108.5055225,90.54156274,89.89599479,0.905247047,0.918138286,0.917921223,abnormal
ABO1,73.76012266,68.67569099,71.36777932,112.3242501,105.4661088,109.4397321,0.890227899,0.900030178,0.896132684,abnormal
ABP1,34.38077832,29.77056646,32.8165249,84.38789056,74.64271749,81.5473901,2.123466675,2.164035813,2.136344887,abnormal
ABQ1,43.05846747,37.16222619,38.70292897,93.57079418,82.04710423,85.37652091,1.759628822,1.790828723,1.776880036,abnormal
ABR1,46.95404458,39.98906302,38.28061828,97.02486076,83.72622692,80.14536401,1.619495351,1.650660571,1.661551811,abnormal
ABS1,52.16923317,41.80020774,45.4479732,100.6736705,81.68245891,88.7662535,1.45177811,1.472553179,1.464988586,abnormal
ABT1,24.11770335,20.61791485,23.39864087,72.604252,63.22161343,70.7843508,2.749978634,2.79409807,2.755662573,normal
ABU1,38.86635625,34.83201592,33.95315991,89.53836704,81.56800634,79.53077071,1.925695116,1.950432783,1.950835065,abnormal
ABV1,32.60717278,26.38226122,29.04158133,80.39490637,66.69300144,73.00640361,2.157923724,2.190848644,2.174309257,abnormal
ABW1,53.69781052,48.62546235,48.02065179,101.6310101,93.34758199,92.16051266,1.404027819,1.427407427,1.430506905,abnormal
ABX1,42.27495173,33.4632669,34.93999107,92.80904115,74.64513595,78.03390747,1.796287336,1.825550046,1.815475353,abnormal
ABY1,79.79356154,67.01784942,68.17623977,115.7604524,98.73731647,100.3766428,0.795097452,0.82935045,0.819502206,abnormal
ABZ1,26.71410929,22.14921114,22.43972103,75.36719097,64.33590842,65.16882314,2.589841721,2.645974106,2.630583355,abnormal
ACA1,12.50668183,11.75401253,11.67699453,53.59911854,51.25695061,50.92413399,4.165560077,4.19508892,4.193470923,abnormal
ACB1,12.1359715,11.34631547,11.27937793,52.94070847,50.41285335,50.20822871,4.257303385,4.289164288,4.281768627,normal
ACC1,38.3294503,31.61101462,31.6695001,88.81521929,74.33038294,74.55741619,1.936166237,1.965945151,1.964980814,abnormal
ACD1,35.73124542,32.19251171,33.05589414,87.01787326,79.3734333,81.51057603,2.069653611,2.085425703,2.081251124,normal
ACE1,35.06471279,27.44406254,26.61205294,82.62918952,65.95347385,63.84422087,2.01527318,2.056828411,2.065357818,abnormal
ACF1,70.2211462,64.40172125,69.4763032,112.0959394,103.8897048,111.2179646,0.994589214,1.016996757,0.997801389,abnormal
ACG1,60.71205275,49.66820099,57.35643057,105.8305701,88.13883396,100.642102,1.214591436,1.245821935,1.220786705,normal
ACH1,8.127025463,7.207480244,7.43300008,41.92688652,38.92006888,40.03293166,5.329275261,5.381028,5.365544722,normal
ACI1,39.39124084,29.67514607,31.01223014,89.19438526,68.84848092,71.98930891,1.902889521,1.956496473,1.936985848,normal
ACJ1,20.68377929,18.8469793,18.85143643,67.6434114,62.93723572,63.0870458,3.070437704,3.103295498,3.096973411,normal
ACK1,13.28533526,12.24308498,12.02473223,54.90264819,51.72136021,50.76804316,4.026407346,4.06793356,4.076012766,normal
ACL1,58.40745349,52.27201224,51.90363879,105.5604694,95.46536751,94.72389497,1.283635988,1.301951745,1.299517741,abnormal
ACM1,35.36149251,31.70376861,35.03777039,81.04299707,73.75639579,80.41361546,1.914139442,1.925238008,1.91340869,abnormal
ACN1,24.97382328,20.02085317,22.1765514,72.2807095,59.7737785,65.94492199,2.677872563,2.753515016,2.712000451,normal
ACO1,46.72719696,37.82229541,38.10967207,95.89530374,79.00547552,79.71339783,1.620888472,1.644108496,1.64038138,abnormal
ACP1,60.64451019,46.8400641,51.3147025,99.7306736,80.5911001,87.85827852,1.165529794,1.173860129,1.169427957,abnormal
ACQ1,58.35468704,45.76128254,45.27662603,104.1610467,83.27155103,82.35797044,1.27975146,1.306360211,1.314480589,abnormal
ACR1,67.21012491,57.66656831,58.46638145,110.2973586,95.91973067,97.23412724,1.066950818,1.086051018,1.082028348,normal
ACS1,87.56591229,69.84232627,83.76686319,119.1016301,96.19342933,114.5755252,0.647743315,0.683930562,0.657410232,abnormal
ACT1,64.04929401,60.3707762,62.9674704,105.1695403,100.04869,103.9045028,1.070620043,1.077159019,1.078650661,abnormal
ACU1,66.97480455,62.88469705,63.91496979,110.6281187,104.8912956,106.4464281,1.071252057,1.085458717,1.08620949,abnormal
ACV1,15.35018398,13.26480906,13.35918762,57.13274941,51.12384658,51.64079645,3.683793866,3.724436483,3.722597117,normal
ACW1,66.92326907,60.79959483,60.6547821,109.8683003,101.3655121,101.0661292,1.076420969,1.090412172,1.089681896,abnormal
ACX1,58.95178651,47.02157646,51.60874213,103.3899061,84.9596796,93.05754949,1.260644825,1.301045838,1.279306281,abnormal
ACY1,43.74799765,38.93673421,39.00591333,94.02825418,85.07128567,85.12578988,1.737735932,1.761111082,1.763464097,normal
ACZ1,47.58545892,42.14676462,43.27452832,96.66218221,87.22520207,89.71328269,1.602339092,1.619283054,1.611990537,abnormal
ADA1,59.63302167,54.40610876,59.28046068,99.05686318,91.59841429,98.51719966,1.100050212,1.113709994,1.099168945,abnormal
ADB1,62.62102292,52.42127775,57.4580906,107.5027992,91.26533708,99.99712769,1.16815488,1.19696218,1.191280737,abnormal
ADC1,87.93883112,80.18791393,64.5334864,117.7298914,109.2601733,87.9894475,0.633776827,0.649974758,0.701367737,abnormal
ADD1,49.92508743,46.48953654,46.94070441,97.36935067,93.26541162,93.88929176,1.521605425,1.539178482,1.536477817,abnormal
ADE1,61.94805854,55.97745631,50.63834043,107.1812481,98.31383602,88.98008546,1.193575613,1.213072764,1.239333173,abnormal
ADF1,60.00736097,52.2325046,54.80070522,106.2828367,93.70214568,98.29433912,1.235098039,1.265232309,1.255382613,abnormal
ADH1,64.80487417,62.46448788,61.36190027,109.176224,106.3790535,104.5061478,1.123556774,1.135281556,1.141789315,abnormal
ADI1,21.95234981,19.87692717,20.08649123,69.2880115,64.11625692,64.9751583,2.944721363,2.9797958,2.968292387,normal
ADJ1,78.40789497,70.75750727,72.82569389,115.0177937,105.0079794,108.1070396,0.816277494,0.827858764,0.825748356,abnormal
ADK1,40.48705161,28.33264881,28.36734659,90.96173882,64.88953735,64.96277339,1.863240168,1.90373999,1.915285346,normal
ADL1,31.27382931,28.41570389,28.35403958,79.7796439,75.13264622,75.06216342,2.29032887,2.314816625,2.31437906,normal
ADM1,38.45698203,34.23914449,38.34737634,89.48870356,80.81293103,89.24375044,1.941919362,1.972220547,1.942807306,abnormal
ADN1,73.97299246,63.70896427,73.40745329,113.324428,99.06621784,112.7415629,0.917245105,0.944418642,0.919411506,abnormal
ADO1,47.73195133,42.63714281,43.54760094,97.32819657,88.33134103,90.23746205,1.593881872,1.624225951,1.613180345,abnormal
ADP1,35.0279603,29.35013425,32.68410716,81.51660071,69.12282813,76.46786516,1.933958651,1.964500016,1.939868327,normal
ADQ1,25.68605122,19.52798866,21.2714655,70.26781351,55.47904611,60.54798338,2.519036579,2.591910302,2.555830309,abnormal
ADR1,55.80672014,52.84505468,53.79478502,103.8965153,99.29638845,101.0006025,1.352691902,1.361842866,1.359123926,abnormal
ADS1,81.59090847,70.58002321,81.45457102,117.0075458,102.4333305,116.8052998,0.761886248,0.787893407,0.762413224,abnormal
ADT1,22.80656658,19.50256869,19.16492804,71.22712948,61.88880161,60.81865473,2.869466073,2.908242812,2.909484549,abnormal
ADU1,71.16800654,58.92888414,60.35143871,111.0189161,93.94063182,96.27760798,0.97694156,0.997491543,0.994894575,normal
ADV1,70.10182679,60.37973699,61.78084263,111.0523315,97.35124997,99.65151965,0.992987434,1.027351687,1.019407307,normal
ADW1,16.50213837,15.5943263,15.40202521,61.40706821,58.93028572,58.18706201,3.536086254,3.564419365,3.567689572,normal
ADX1,62.29813172,59.15779338,57.73972653,107.9068721,103.3872967,100.9369407,1.178823149,1.18927502,1.198491093,abnormal
ADY1,55.93869104,50.15554368,44.83792735,103.8986696,94.26985213,84.70601631,1.345123707,1.37579809,1.421734896,abnormal
AEA1,79.06989812,58.58312304,56.59744122,114.2376537,86.70113384,83.74322648,0.808544002,0.844961403,0.851911632,normal
AEB1,74.00493471,61.4223796,61.89240482,111.7075755,94.70613904,95.49640066,0.904123117,0.927123118,0.921009856,abnormal
AEC1,53.85609715,41.2949345,50.13466577,100.6638876,78.45634969,94.43336499,1.374390466,1.422273688,1.38529619,abnormal
AED1,31.21665039,26.90110972,28.70138017,81.4556538,71.57610977,76.15358929,2.29741873,2.331500387,2.311237095,abnormal
AEE1,35.63696508,29.76116534,28.75758496,81.86024322,69.99176444,67.52693692,1.950666001,1.98104529,1.988019593,abnormal
AEF1,41.55661548,36.37434466,41.1058787,91.92460391,81.75742281,91.13361741,1.807738939,1.839894745,1.81037169,abnormal
AEG1,11.76585055,10.27695348,9.891576515,52.11329158,46.4778318,44.66839448,4.337371729,4.3911722,4.412816417,normal
AEH1,61.16146721,55.88418284,57.46713681,107.2207825,98.93383377,101.7355996,1.206829679,1.223763,1.217750812,abnormal
AEI1,29.25076758,26.90983137,27.56481467,78.91582303,73.54316577,75.19712391,2.384834746,2.408055039,2.400233887,normal
AEJ1,20.09094828,18.18711823,19.63979064,66.43830879,61.25831778,65.29098822,3.096750229,3.120776382,3.102341055,abnormal
AEL1,40.94770331,34.30763147,39.28433804,91.20124366,77.82014434,88.20723213,1.839196437,1.86599663,1.846971471,abnormal
AEM1,76.88829424,69.91374956,72.95784282,115.3641704,105.920684,110.4791682,0.854596892,0.875514544,0.866839301,abnormal
AEN1,76.80931973,65.7684591,65.17936211,115.3889348,99.75658064,98.86918235,0.855598113,0.880307351,0.881418576,abnormal
AEO1,40.57085748,36.1930953,39.51164674,91.40538762,82.44483566,89.30154156,1.845171783,1.864778603,1.848992926,abnormal
AEP1,40.98886827,38.38064847,39.49641683,91.7508519,86.56232619,89.0320931,1.81856903,1.829525148,1.824890925,normal
AEQ1,46.27123879,43.43439153,44.85791925,96.53975575,91.72229686,94.36430075,1.64254338,1.660258307,1.649445802,abnormal
AER1,31.16269898,25.08647293,28.97113895,80.50180146,66.79940043,76.0536743,2.303224029,2.377507746,2.320158569,abnormal
AES1,43.20809103,38.79380209,38.559456,89.24087213,81.59081741,81.2153066,1.642558316,1.656637277,1.656191283,abnormal
AET1,76.03643288,62.77929182,72.11401744,114.1895684,95.73362118,109.0818749,0.866480617,0.907309998,0.876788644,abnormal
AEU1,53.50768481,51.37242932,52.79251018,97.5390353,94.49710413,96.94871959,1.309873542,1.32046683,1.318909325,abnormal
AEV1,58.33787246,46.20305402,43.58694638,104.5529525,84.43244517,79.46814008,1.284228478,1.32520579,1.326699836,normal
AEW1,54.25853228,47.54201526,47.93051086,102.2057118,90.89852008,91.66762703,1.391342,1.417943576,1.412613677,normal
AEX1,67.88143019,64.03631944,62.88625115,110.7046422,105.6774611,103.7478512,1.049080809,1.0635891,1.07326835,abnormal
AEY1,54.7084935,47.12927758,47.50061662,102.4356513,89.49624868,90.33125696,1.379908266,1.397579134,1.396401706,abnormal
AFA1,50.04725799,43.59337274,48.17265975,99.34256748,87.68980598,96.26448094,1.517741767,1.544966949,1.525441979,abnormal
AFB1,71.20631458,64.09142351,67.45263309,113.0626423,102.5618259,107.8384963,0.974716839,0.993306282,0.983596929,abnormal
AFC1,39.77862305,31.46341647,30.85480637,89.26513192,72.62801244,71.15772653,1.888175853,1.935394515,1.937399592,normal
AFE1,42.92574691,37.27431319,41.00340831,94.38854166,82.65059383,90.5169156,1.763001123,1.791522708,1.77006961,normal
AFH1,74.09151578,61.29566396,70.97683702,113.6706238,95.20176938,109.3395823,0.910794958,0.936031557,0.915314531,normal
AFI1,34.7145721,25.59016388,30.71608428,79.53508323,59.88172276,71.19251475,1.923421626,1.987727859,1.942887006,normal
AFJ1,29.4856116,21.99028387,22.70746832,77.22857417,59.3212755,61.41349951,2.363988232,2.393576806,2.387616837,normal
AFK1,74.40193628,65.43799019,64.99855562,114.630976,101.6184476,100.9553166,0.908874248,0.925357992,0.923935168,normal
AFL1,29.61020176,27.80202518,27.09333283,79.43829689,75.83582163,73.87677121,2.380759826,2.402812801,2.405193689,normal
AGA1,36.23162229,27.17668472,27.05611462,86.82772423,66.50146486,66.10039635,2.044106322,2.103229082,2.096467807,normal
AGB1,65.00706368,45.58628538,43.21347877,107.7055609,77.0830839,73.0217512,1.107874503,1.138265376,1.148304398,normal
AGM1,8.215208845,7.326454684,7.005369865,43.38195478,39.79129165,37.74210416,5.317777822,5.366000754,5.393224589,normal
AGO1,10.31825716,8.431370987,8.244793991,47.43163209,40.08437601,39.17114591,4.607495849,4.723331128,4.74760737,normal
AGV1,73.09800118,49.99636815,52.10828924,109.7960326,77.01308778,80.34550436,0.899730363,0.94034446,0.931507047,normal
AGW1,7.355811409,6.946461083,6.670781175,41.50957954,39.96545949,38.11333132,5.627329813,5.654393699,5.678828484,normal
AGX1,44.23647194,34.0274033,36.28272447,91.33020761,72.81940247,77.97782657,1.701946885,1.743748614,1.724420355,normal
AGY1,69.75259717,53.00663292,55.02544663,110.314511,85.17332088,88.5919297,0.992093172,1.009478054,1.008565516,normal
AHA1,22.59013807,20.56195987,19.90928811,71.07519929,65.52824275,63.42862121,2.881639852,2.910890855,2.916096748,normal
AHD1,24.66583319,20.82670921,23.64480678,73.19661975,63.29361362,70.88114785,2.717029712,2.790961365,2.729705562,normal
AHQ1,22.87135911,21.47252993,21.44061052,70.84682346,67.71788046,67.74155739,2.864535829,2.885114905,2.878887897,normal
AHR1,41.32901744,32.60244418,32.14611233,91.73204772,73.76987489,72.74520321,1.829399396,1.872836192,1.872204223,normal
AHS1,49.22806898,40.66562875,42.0602038,98.87499968,82.79709668,85.58873672,1.540958165,1.581960053,1.568880577,normal
AHT1,9.671463723,9.266349101,9.381454962,46.87866869,45.80665785,46.14977022,4.792044677,4.807917441,4.802227734,normal
AIB1,35.64319439,30.83300755,32.17098455,86.56515417,76.12371102,79.40320084,2.075008515,2.100078451,2.08923966,normal
AID1,4.563356584,3.765285787,3.969861313,29.92955913,26.21367027,27.56779661,7.013311903,7.122097671,7.082062639,normal
AIF1,67.57066169,57.93415914,63.66611934,110.8117555,96.00565923,104.8470465,1.053485281,1.077708283,1.058160549,normal
AIH1,11.46353449,10.73179167,10.50934474,51.38798206,49.09884042,47.98565664,4.400509699,4.425227028,4.427673887,normal
AIL1,12.73322524,11.88211647,11.6074652,54.25274465,51.4483734,50.20470396,4.123944239,4.153061622,4.167488372,normal
AIO1,65.31022166,52.69738119,61.07473003,106.5940525,86.83445882,100.1412746,1.047759312,1.062390342,1.051563539,normal
AJA1,28.56962802,25.40767796,25.58159341,78.65323549,71.13747592,71.58697922,2.456303842,2.486291048,2.487555523,abnormal
AJC1,78.62849853,62.45414036,61.23797875,115.9882457,93.22049891,91.36047657,0.822521503,0.848048362,0.847554346,normal
AJE1,30.02953432,25.75330113,24.96000081,80.0758794,70.02878991,67.84872142,2.366515847,2.400388306,2.405755191,normal
AJG1,11.94443035,11.00059566,11.7105089,52.37570677,49.1064067,51.57827789,4.271991778,4.304588517,4.279662104,normal
AJL1,52.19493813,42.98826791,45.22449785,100.6109391,84.19191783,88.68748466,1.457664172,1.474899177,1.476633351,normal
AJN1,23.40401026,21.90024255,22.35400213,72.38509504,68.59804767,70.02149365,2.824515604,2.843548576,2.834226558,normal
AJP1,41.0539333,33.89585995,38.50128007,87.85721846,73.8699083,83.16144547,1.731505863,1.762192742,1.737209921,abnormal
AJW1,30.03997273,25.91968778,25.8736117,79.69936828,70.35301425,70.28029039,2.359380966,2.408326451,2.402481671,normal
AJZ1,29.98035744,23.36858994,23.23551807,78.27284488,63.10019677,62.70798577,2.358712429,2.427505726,2.428123306,normal
AKB1,3.153635718,2.620236952,2.630107617,26.30159516,23.11024517,23.18709081,8.932402215,9.096230122,9.086841886,normal
AKJ1,47.51293529,38.04667748,45.70737582,98.35735071,79.36109502,94.92897725,1.601611918,1.632104234,1.61016419,normal
AKZ1,80.21648505,62.43076576,67.0487993,113.6419789,90.7354478,97.63088039,0.774609553,0.80157769,0.798155087,normal
ALC1,47.47073008,43.05801026,41.18571922,97.86591571,89.64113051,85.73075733,1.60379667,1.622170622,1.630544899,normal
ALF1,59.36122873,51.36665006,46.75578663,106.4101716,93.06347248,84.86912464,1.255134375,1.288024852,1.312429506,normal
ALI1,77.34927693,54.83907345,53.78839696,113.0180768,81.10810688,79.50948058,0.810939846,0.82682215,0.831697302,normal
ALU1,21.11584147,18.3434944,17.47348279,68.08434292,60.65643018,57.74327066,3.03261336,3.089593212,3.132396325,normal
AMC1,31.91225514,26.94599037,26.69234403,82.77924027,70.76978664,70.14083465,2.25283454,2.277106693,2.278440485,normal
AMF1,86.8705353,80.7631301,78.98114381,119.9399604,111.9971226,109.5439929,0.66637113,0.673496504,0.6741057,normal
AMK1,24.47312621,22.56872933,21.41365535,73.67401631,68.91705733,65.38391604,2.73794436,2.759732566,2.784787293,normal
AMT1,40.68576278,31.70364505,32.48289581,90.14285379,71.98880475,73.79698698,1.852492537,1.886938521,1.875477288,normal
AMY1,70.49334409,57.29770968,56.67261828,111.1898523,92.08438167,91.07893338,0.991564206,1.018161958,1.020686745,normal
ANC1,56.27127378,47.92518694,55.27944509,104.6656805,89.76459651,102.9180144,1.336452362,1.358725759,1.338204211,normal
ANP1,8.794679581,7.480113845,7.489281124,43.86132359,39.00202919,39.23539251,5.16142077,5.238762888,5.225660639,normal
ANS1,44.08336613,39.24952037,40.42710383,93.43801998,85.21105395,87.77887307,1.728550629,1.753494197,1.743434707,normal
ANV1,14.67089934,12.02695895,11.11458012,57.04489244,48.24498529,44.2766266,3.805225512,3.876324568,3.925436543,normal
AOP1,44.3748495,39.47366975,41.54118621,95.55493878,85.83894538,90.19183492,1.709163513,1.744698104,1.727896869,normal
AOS1,10.97427832,9.299768519,9.394253813,49.65165014,43.15769388,43.67867525,4.468256181,4.559337268,4.531808648,normal
AOV1,8.6286681,8.062389325,7.854820932,44.78936793,42.69690643,41.45290115,5.156621509,5.18992427,5.20883036,normal
APB1,40.63475695,32.97425504,33.66051198,90.60214808,75.08979433,76.6307058,1.834426799,1.899449117,1.882788845,normal
APF1,25.7685575,19.78695593,18.85424084,74.60953598,58.77619514,55.95485437,2.644139028,2.718305128,2.740961409,normal
API1,78.06095436,67.99586368,69.35571753,116.0685176,102.017227,104.0482131,0.833760746,0.85432533,0.855011921,normal
APT1,17.13936276,16.51189999,15.81808279,62.71713462,60.96289312,58.42103806,3.430670259,3.449372486,3.474636677,normal
APV1,40.16205381,33.47437874,33.61095264,90.55126652,76.72509838,77.13692161,1.863086452,1.896386402,1.892107673,normal
