image_id,mean_l,mean_a,mean_b,std_l,std_a,std_b,skew_l,skew_a,skew_b,label
ACU1,25.18398208,1.526700543,0.004304988,41.95981811,3.502024181,2.6783597,1.077665556,2.49928639,0.52426513,abnormal
ACV1,5.418229962,0.659733151,0.182045929,20.97486375,2.357782237,0.949779587,3.702112353,4.543112294,5.722474838,normal
ACW1,24.55845775,1.99726119,0.809342666,40.91731903,3.71193733,1.895135387,1.082848128,1.773715634,2.685849706,abnormal
ACX1,20.03994204,4.805357682,-0.674313607,36.0367565,8.745745345,2.12461263,1.274731424,1.635289121,-2.318110614,abnormal
ACY1,15.83913139,1.608067671,0.560942615,34.57766524,3.995897454,2.660453606,1.747901966,2.856071624,2.800415724,normal
ACZ1,17.19662694,1.970623403,0.10322897,35.57839448,4.301327123,0.937040055,1.609305143,2.193740265,0.68479079,abnormal
ADA1,22.32626404,2.54279043,-1.666995248,37.54472307,5.094488052,3.4267043,1.103541513,2.070170771,-2.129504161,abnormal
ADB1,21.96484077,4.333760961,-1.130108029,38.14846686,8.039809484,3.653611644,1.178693912,1.603903711,-1.811002165,abnormal
ADC1,32.07832878,0.331480215,8.432257378,43.59408898,3.212621772,12.39370516,0.640719875,-0.346011728,1.026580997,abnormal
ADD1,18.62789641,1.125863736,0.16803009,37.2952173,2.519086281,1.789277592,1.530402059,2.835905286,1.700655734,abnormal
ADE1,22.541046,1.179073261,3.325614007,39.54278237,3.061563182,6.789985305,1.202598203,1.828631751,1.889313763,abnormal
ADF1,21.52034779,3.076087542,-0.254379797,38.51140667,6.132605816,1.642112932,1.247303128,1.822671554,-2.425205284,abnormal
ADH1,24.73800901,0.56099874,0.798500451,42.12061533,1.831148465,2.304248172,1.129523995,3.119641285,3.397015174,abnormal
ADI1,8.030158403,0.700639588,0.130972247,25.90961552,2.658581154,0.667813646,2.960406485,4.807295697,4.965536659,normal
ADJ1,28.75554666,2.896555246,-0.061764943,42.63391319,4.653759601,1.745335517,0.820917646,1.419790426,-0.364224098,abnormal
ADK1,12.6605426,4.397983557,1.751659705,28.9120843,9.861943436,4.340666443,1.877005975,1.989287136,2.561551963,normal
ADL1,11.44786671,0.864751688,0.336924468,30.22420336,2.151125239,1.161647986,2.303404948,3.095232083,4.583990324,normal
ADM1,14.04666305,2.085550769,-1.416339384,33.08002875,5.657619951,3.846962509,1.952459711,2.983393137,-3.013473283,abnormal
ADN1,26.49758313,5.08694261,-3.3415294,41.11727957,8.61930054,5.803053148,0.926259316,1.511601512,-1.568643733,abnormal
ADO1,17.36164983,1.85203179,0.184847679,35.90539697,4.568479637,1.234733536,1.606710796,2.661677574,2.345795978,abnormal
ADP1,12.43088563,2.518523336,-0.893301684,29.20817983,6.334961614,2.266003573,1.943629168,2.486728042,-2.45782918,normal
ADQ1,8.495457329,2.393206069,-0.074739388,24.0558021,6.590146813,0.956904088,2.546386625,2.851898302,-1.32955222,abnormal
ADR1,21.10269662,1.125046126,-0.104343227,39.6312814,2.674111703,1.309505332,1.356831171,2.588214972,-0.754397595,abnormal
ADS1,29.33820251,5.569811409,-3.812677212,42.45701354,8.907152555,6.098378843,0.770509501,1.31779955,-1.316537496,abnormal
ADT1,8.039042813,1.066786757,0.583626599,25.48147371,3.658886281,2.16354,2.885298493,3.648860033,4.111962827,abnormal
ADU1,24.64190704,4.397456089,0.878253283,39.21079027,7.005403016,2.447990141,0.984945059,1.322526718,2.187088596,normal
ADV1,24.92757019,3.550242768,0.564287327,40.06631579,6.428831172,1.703035122,1.006779348,1.619690377,2.12682721,normal
ADW1,6.207526756,0.253198707,0.194601652,23.45850943,1.41520197,1.007240279,3.55015615,7.426221985,6.442131584,normal
ADX1,23.55375629,0.800267235,1.054217344,41.1298966,2.409340707,3.385925488,1.183769199,2.593980784,3.216808311,abnormal
ADY1,20.26668223,1.185749545,3.328101198,38.00465923,3.594734362,7.538933789,1.359293839,2.677382139,2.373744196,abnormal
AEA1,25.5387504,7.05254988,3.86867751,37.61085955,10.23731963,5.983396455,0.820973262,0.986154646,1.212157253,normal
AEB1,25.66383978,4.363070478,1.385045967,39.49099622,6.800087563,2.280447269,0.912557815,1.32402449,1.576407705,abnormal
AEC1,18.05660042,5.816716583,-2.614630326,34.1671368,11.35118709,5.479487069,1.388506034,1.679830942,-1.905643741,abnormal
AED1,11.10906307,1.728154008,-0.334057732,29.51528814,4.862243847,1.410892746,2.311118722,3.03479232,-3.190866257,abnormal
AEE1,12.42823452,1.812855252,1.23217071,29.22044711,4.180284673,3.119518011,1.963541247,2.38195579,2.622376525,abnormal
AEF1,15.03210113,2.514051766,-1.589325748,33.68992942,6.371149148,4.083845854,1.81820063,2.856503886,-2.880099152,abnormal
AEG1,4.185205688,0.431084991,0.369711539,18.9358725,2.137215006,1.958318782,4.362511726,5.838007,5.905310208,normal
AEH1,22.6090399,2.030372473,-0.117487068,39.97282156,4.231672165,1.32596229,1.214152918,2.004901355,-1.271629406,abnormal
AEI1,10.85974555,0.875229086,-0.03609526,29.67169735,2.826504252,1.271587941,2.394276551,3.860844003,-0.432408771,normal
AEJ1,7.394505414,0.842486502,-0.448017488,24.8900294,2.977679781,1.547097577,3.106042609,4.443896499,-4.121854995,abnormal
AEL1,14.39023949,3.046744358,-1.537744895,32.58416292,6.969617512,3.697551494,1.848922854,2.323584413,-2.520480047,abnormal
AEM1,28.35913662,2.863158001,-0.60831421,42.89507194,5.219633457,1.994796718,0.863484605,1.626183224,-2.197051377,abnormal
AEN1,27.1597134,3.733207132,1.716641548,41.11201327,6.432196179,3.861314148,0.865556972,1.485822761,2.14592095,abnormal
AEO1,14.82200059,2.013013648,-1.036479768,33.71551359,4.946423426,2.551212321,1.852386751,2.511394543,-2.51074819,abnormal
AEP1,15.4194541,1.048713355,-0.226500277,34.75562195,2.660760596,0.820153471,1.823149393,2.603131188,-3.152615566,normal
AEQ1,17.41334521,1.159136303,-0.335962057,36.72050417,3.300542663,1.658804217,1.650153819,3.323285187,-4.131761361,abnormal
AER1,10.66376368,2.653583806,-1.072342514,28.29425234,7.341725966,3.288364145,2.329218546,3.017829462,-3.406566662,abnormal
AES1,15.84551087,1.413024175,0.634333334,33.30960688,3.085907382,1.526496368,1.648572874,2.28108489,2.979712205,abnormal
AET1,26.5365059,6.095717775,-2.781866313,40.31013513,9.931401071,4.758925744,0.88076161,1.31069546,-1.445885228,abnormal
AEU1,20.61037182,0.939704299,-0.430509003,37.88742781,2.386358834,1.583504982,1.312269261,3.150138655,-1.393414524,abnormal
AEV1,19.5663933,3.875817019,2.928717106,35.64713798,7.441753739,5.834949373,1.299474759,1.612331949,1.987659418,normal
AEW1,19.48239122,2.3323017,0.650811587,37.17489741,4.993925786,2.075513042,1.402522055,2.1851716,2.984167704,normal
AEX1,25.54467777,1.069082573,1.016396451,42.1191012,2.606366566,3.020854362,1.05626269,2.651316854,2.929907166,abnormal
AEY1,19.4209247,2.63409617,0.774219392,36.83840352,5.198175449,1.764320516,1.386980662,1.814997707,2.374498679,abnormal
AFA1,18.00933543,2.935741939,-1.382653825,36.15230876,6.390685092,3.10566301,1.528082574,2.273598902,-2.341889952,abnormal
AFB1,26.10379291,2.97371486,-0.736987108,41.71191437,5.479067361,1.688590781,0.982314349,1.645977145,-1.959132586,abnormal
AFC1,13.33802395,2.77646781,1.400047581,30.68655395,6.365417628,3.39104861,1.906524048,2.282117096,2.466802612,normal
AFE1,15.41949078,2.551954778,-1.078513757,34.11570375,6.209724065,2.616422108,1.773792019,2.365367545,-2.271545469,normal
AFH1,25.89490695,5.987946788,-3.005963994,40.11989746,9.693295261,4.907194426,0.919085229,1.261099815,-1.286867001,normal
AFI1,11.44708441,4.053200948,-1.282608369,26.67465145,9.509029483,3.148803142,1.942535848,2.210523504,-2.34505653,normal
AFJ1,9.568568725,2.681841003,0.640486434,25.78964866,6.862338206,1.887281571,2.373240413,2.593270233,3.330279705,normal
AFK1,26.76114504,3.000764054,1.350926198,41.50581753,5.140548805,2.480027019,0.915906291,1.413085204,1.709072747,normal
AFL1,11.0925695,0.451662986,0.543539221,30.25409235,1.706585921,1.747230704,2.391239217,4.766850012,3.815486357,normal
AGA1,11.78939939,3.194799979,1.32712248,28.74964309,7.952256447,3.55270986,2.064439684,2.355974427,2.755436571,normal
AGB1,20.32775951,6.72812893,4.017095752,34.24169566,11.11290204,6.964655921,1.117109817,1.2326395,1.415089152,normal
AGM1,2.953663608,0.225181996,0.260103346,16.06440151,1.209459118,1.628897692,5.34284253,7.002652232,6.988000312,normal
AGO1,3.522398793,0.599431334,0.328264375,16.7368082,2.855403291,1.798367035,4.657302734,6.035273596,6.468925316,normal
AGV1,22.71868349,8.699376326,2.362942534,34.75223537,13.19664921,4.195983316,0.907085694,1.065442884,1.637043319,normal
AGW1,2.757747756,0.077064344,0.180426349,15.87058776,0.584182821,1.268865453,5.64202254,8.15637443,8.284846659,normal
AGX1,14.64453254,3.816710926,0.209178959,31.26872705,7.979579349,1.007202107,1.715125278,2.05801346,1.474467082,normal
AGY1,22.97930104,6.22126152,1.300829962,36.83660539,9.821939612,2.742038571,0.997282896,1.111839521,2.026943671,normal
AHA1,8.291838139,0.567156735,0.562491726,26.39976444,2.209306338,1.994431541,2.895090961,4.681645696,3.854903519,normal
AHD1,8.704941038,1.737642206,-0.851235473,26.35375714,5.908683572,3.119281003,2.743238921,3.945787513,-4.274817873,normal
AHQ1,8.570378214,0.427714702,0.165009717,27.04447748,1.685117364,0.629037714,2.874209469,5.295394754,3.593568977,normal
AHR1,13.84780311,2.977473285,1.397046936,31.26715738,6.895892151,3.410139928,1.84562597,2.217349257,2.381156412,normal
AHS1,17.06236248,3.204426184,0.451727241,34.62391986,7.09185301,1.68851033,1.556137638,2.008942358,2.307257286,normal
AHT1,3.68524349,0.137020528,-0.009728054,18.20503524,0.637575666,0.342255926,4.796492396,6.435151618,2.858862827,normal
AIB1,12.69838172,1.827110123,-0.051868302,31.32095466,4.778048435,1.376477928,2.085203882,2.729674856,-0.855631946,normal
AID1,1.573361995,0.278496089,-0.01336209,10.95751408,1.627243577,0.326542449,7.059803325,7.72973633,-5.446722461,normal
AIF1,24.07123734,4.236497494,-1.530539435,39.79750689,7.622635897,2.809567988,1.061935181,1.523128117,-1.729879362,normal
AIH1,4.273816512,0.184348209,0.185738185,19.57539284,0.978581132,0.984421257,4.413619112,7.06953073,6.263839707,normal
AIL1,4.746659841,0.224540138,0.231012965,20.55351096,1.194064868,1.293360889,4.138653334,6.668501622,6.827438336,normal
AIO1,22.55998024,5.75401104,-2.430181662,37.12414336,9.57043882,4.1894991,1.051389488,1.263402271,-1.378212905,normal
AJA1,10.33681966,1.071863726,0.301162894,28.92267014,3.35131986,1.901693227,2.469612576,3.571649429,4.24861243,abnormal
AJC1,26.50022619,5.533501116,2.799222373,39.45842319,8.516512186,4.346164228,0.831894478,1.059768023,1.123326048,normal
AJE1,10.58560145,1.319145384,0.920579027,28.75762629,3.789850212,2.71617791,2.381309248,3.089329436,3.104706069,normal
AJG1,4.437615993,0.410709191,-0.214632791,19.80101407,2.024491517,1.029016139,4.285768628,6.087333901,-6.128541484,normal
AJL1,18.043392,3.508554971,0.097793478,35.30504052,6.810488965,2.051735513,1.464585948,1.694632293,0.00648588,normal
AJN1,8.772204014,0.560113839,-0.043943126,27.46394861,2.146154117,0.573223003,2.833325893,4.566036937,-3.805287702,normal
AJP1,14.38870003,3.187362598,-1.313873941,31.28242718,7.203763875,3.095713759,1.740449287,2.20391594,-2.247801146,abnormal
AJW1,10.65502043,1.373655238,0.535619573,28.86472988,4.221603147,1.763106889,2.379619009,3.518562333,4.072245773,normal
AJZ1,9.949447708,2.227739906,0.931580025,26.81617922,5.935690827,2.788315514,2.385443518,2.852281366,3.393180344,normal
AKB1,1.074356878,0.161640654,0.054098925,9.522760656,1.201804623,0.578915423,9.023759565,9.860382143,13.95965767,normal
AKJ1,16.32457086,4.563155677,-2.46718833,33.96550205,9.84243534,5.346617912,1.611695648,1.86563757,-1.847313031,normal
AKZ1,26.8449734,6.884050038,0.105824495,38.87718589,9.650199041,2.19566549,0.78438044,0.961653114,-0.02606958,normal
ALC1,17.37988834,1.190243569,1.456394011,36.14235307,3.103959254,3.575732881,1.612224764,2.567197786,2.621220936,normal
ALF1,21.03852113,2.092842393,3.306953021,38.01429889,4.90702526,6.926177133,1.269125702,2.395839807,1.961908984,normal
ALI1,24.42889881,8.005320941,3.792123781,36.06677223,11.68201556,6.12618496,0.815061232,0.904106763,1.420643869,normal
ALU1,7.479275896,0.784035777,0.771025036,24.72902011,2.888659212,3.178988427,3.059185296,4.445901356,4.72549027,normal
AMC1,11.17244828,1.664487585,0.761924895,29.30928839,4.532756429,2.188475195,2.262530124,2.729862678,3.035058602,normal
AMF1,32.38136208,1.762959936,1.606936914,44.87982277,2.957602581,2.443222243,0.669621607,1.578800187,1.203532445,normal
AMK1,9.043444093,0.439171754,0.785636617,27.59714229,1.747355541,3.012048029,2.748812764,4.210753662,4.39068183,normal
AMT1,13.54330944,3.203778062,0.800177871,30.72277425,7.269758695,1.947182909,1.864245051,2.289944603,2.773007343,normal
AMY1,24.08506803,4.480029122,2.039555206,38.62523809,7.335111747,3.895011386,1.001955447,1.34340807,1.944552,normal
ANC1,20.03965187,4.100754304,-2.474080304,37.45409868,8.260545787,5.00464793,1.343592377,1.740268736,-1.773635307,normal
ANP1,3.051707264,0.402042963,0.133654467,16.00353718,1.943415113,0.733545155,5.200354182,6.569669927,6.986162964,normal
ANS1,15.97276718,1.753725761,0.003504074,34.65456555,4.089857512,1.271830249,1.739519734,2.582351931,-1.826827702,normal
ANV1,4.991884756,0.74474006,0.784266306,20.01754448,2.979380945,3.493938717,3.837345518,4.867041923,4.809634475,normal
AOP1,16.14392422,2.018457288,-0.379941665,35.0171743,5.281229735,1.64763007,1.723905796,2.687936854,-2.633491083,normal
AOS1,3.847157136,0.567551334,0.159451223,17.83979132,2.869663534,0.747658717,4.505443085,6.034480199,5.414305952,normal
AOV1,3.213252812,0.139171076,0.166126827,17.03022058,0.895947518,1.152595219,5.173797535,8.434234974,8.671246756,normal
APB1,13.92209426,2.768753063,0.688002894,31.54712919,6.795145176,1.881682321,1.858853956,2.370564867,2.98566831,normal
APF1,8.471752197,1.965970808,1.278741443,25.07629351,5.89320709,4.050223217,2.672404892,3.093552783,3.254757646,normal
API1,27.94504466,3.678893831,0.630369518,41.86405605,6.060868107,2.302440589,0.842356154,1.307134476,2.013928421,normal
APT1,6.53889733,0.086726873,0.40577235,24.12485887,0.848167064,1.963172575,3.440069707,6.815875131,5.76804656,normal
APV1,13.95997448,2.317974046,0.796678911,31.93537296,5.620012454,2.317712854,1.875636249,2.368260471,3.103057267,normal
